There are 51040 points in the circle, out of a total of 65536 points in the square.
The best possible approximation for pi is 3.11523

p: 600239       q: 600983       n = p*q: 360733434937   seed: 430521001

k: 0	s: 430521001	 aceCnt: 1	 succ: 0	  approx: nan	 aceCnt2: 1	 succ2: 0	  approx2: nan
k: 580000000	s: 95955524990	 aceCnt: 289999683	 succ: 28235079	  approx: 3.11559	 aceCnt2: 289969544	 succ2: 28234422	  approx2: 3.11552
k: 590000000	s: 241936729018	 aceCnt: 295000590	 succ: 28721333	  approx: 3.11553	 aceCnt2: 294970444	 succ2: 28721398	  approx2: 3.11554
k: 600000000	s: 119702317476	 aceCnt: 300001138	 succ: 29207854	  approx: 3.1155	 aceCnt2: 299970654	 succ2: 29207809	  approx2: 3.1155
k: 610000000	s: 193970157127	 aceCnt: 305001502	 succ: 29693998	  approx: 3.11544	 aceCnt2: 304969678	 succ2: 29694463	  approx2: 3.11548
k: 620000000	s: 249220402506	 aceCnt: 310000298	 succ: 30180446	  approx: 3.1154	 aceCnt2: 309969973	 succ2: 30181608	  approx2: 3.11552
k: 630000000	s: 147665051802	 aceCnt: 314999046	 succ: 30667216	  approx: 3.1154	 aceCnt2: 314972062	 succ2: 30667980	  approx2: 3.11548
k: 640000000	s: 241891680991	 aceCnt: 319995780	 succ: 31153917	  approx: 3.11539	 aceCnt2: 319971075	 succ2: 31154969	  approx2: 3.1155
k: 650000000	s: 276443042455	 aceCnt: 324996199	 succ: 31640555	  approx: 3.11538	 aceCnt2: 324969375	 succ2: 31641959	  approx2: 3.11552
k: 660000000	s: 118346089275	 aceCnt: 329998901	 succ: 32127533	  approx: 3.1154	 aceCnt2: 329968492	 succ2: 32128628	  approx2: 3.1155
k: 670000000	s: 288756993703	 aceCnt: 334999662	 succ: 32614461	  approx: 3.11541	 aceCnt2: 334966427	 succ2: 32616180	  approx2: 3.11558
k: 680000000	s: 278647099865	 aceCnt: 340001184	 succ: 33101613	  approx: 3.11545	 aceCnt2: 339963757	 succ2: 33103543	  approx2: 3.11563
k: 690000000	s: 98079716075	 aceCnt: 345001552	 succ: 33588097	  approx: 3.11542	 aceCnt2: 344964572	 succ2: 33590820	  approx2: 3.11567
k: 700000000	s: 6979500639	 aceCnt: 350003873	 succ: 34075025	  approx: 3.11543	 aceCnt2: 349966599	 succ2: 34077647	  approx2: 3.11567
k: 710000000	s: 122618758413	 aceCnt: 355005375	 succ: 34561618	  approx: 3.11541	 aceCnt2: 354968244	 succ2: 34564068	  approx2: 3.11563
k: 720000000	s: 40651590452	 aceCnt: 360006165	 succ: 35047964	  approx: 3.11537	 aceCnt2: 359970625	 succ2: 35050714	  approx2: 3.11562
k: 730000000	s: 342197117226	 aceCnt: 365003667	 succ: 35534864	  approx: 3.11539	 aceCnt2: 364970612	 succ2: 35537663	  approx2: 3.11563
k: 740000000	s: 175052450176	 aceCnt: 370005257	 succ: 36022095	  approx: 3.11542	 aceCnt2: 369973477	 succ2: 36024161	  approx2: 3.1156
k: 750000000	s: 140376243183	 aceCnt: 375005626	 succ: 36509597	  approx: 3.11549	 aceCnt2: 374973910	 succ2: 36510618	  approx2: 3.11557
k: 760000000	s: 76155765248	 aceCnt: 380004433	 succ: 36996534	  approx: 3.1155	 aceCnt2: 379975071	 succ2: 36997281	  approx2: 3.11556
k: 770000000	s: 272859674238	 aceCnt: 385004473	 succ: 37483129	  approx: 3.11548	 aceCnt2: 384974536	 succ2: 37483846	  approx2: 3.11554
k: 780000000	s: 167542407860	 aceCnt: 390005936	 succ: 37969198	  approx: 3.11542	 aceCnt2: 389975594	 succ2: 37971166	  approx2: 3.11558
k: 790000000	s: 41511358564	 aceCnt: 395006892	 succ: 38455715	  approx: 3.1154	 aceCnt2: 394975243	 succ2: 38458214	  approx2: 3.1156
k: 800000000	s: 260976111062	 aceCnt: 400008128	 succ: 38942410	  approx: 3.11539	 aceCnt2: 399976381	 succ2: 38944534	  approx2: 3.11556
k: 810000000	s: 22574039940	 aceCnt: 405006524	 succ: 39429126	  approx: 3.11539	 aceCnt2: 404974284	 succ2: 39431357	  approx2: 3.11556
k: 820000000	s: 69813694908	 aceCnt: 410008326	 succ: 39916024	  approx: 3.1154	 aceCnt2: 409975288	 succ2: 39918270	  approx2: 3.11557
k: 830000000	s: 132764943736	 aceCnt: 415009034	 succ: 40402712	  approx: 3.11539	 aceCnt2: 414974037	 succ2: 40404383	  approx2: 3.11552
k: 840000000	s: 29513118670	 aceCnt: 420009244	 succ: 40889274	  approx: 3.11537	 aceCnt2: 419972627	 succ2: 40890970	  approx2: 3.1155
k: 850000000	s: 293245961700	 aceCnt: 425011200	 succ: 41375484	  approx: 3.11533	 aceCnt2: 424973714	 succ2: 41377670	  approx2: 3.1155
